local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Professor Hostílio Araújo, Pilarzinho",750000.0,200.0,4.0,2.0,3.0,54
"Rua Rogério Pereira de Camargo, Cidade Industrial",308900.0,54.0,2.0,1.0,2.0,33
"Rua Pedro Krasinski, Capão Raso",395000.0,73.0,2.0,1.0,2.0,26
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",760000.0,88.0,2.0,2.0,2.0,33
"Alto Boqueirão, Curitiba",288771.0,48.0,2.0,2.0,1.0,3
"Rua Lindamir Tortato Nichel, Campo de Santana",299000.0,78.0,2.0,1.0,1.0,24
"Rua João Batista Trentin, Tingui",524900.0,69.0,3.0,1.0,2.0,74
"Rua Brasílio Bacellar Filho, Tingui",380300.0,57.0,2.0,1.0,1.0,74
"Rua João Bonat, Novo Mundo",383000.0,62.0,2.0,1.0,2.0,51
"Água Verde, Curitiba",549000.0,77.0,2.0,2.0,2.0,1
"Alameda Júlia da Costa, Mercês",682428.0,111.0,3.0,2.0,3.0,49
"Avenida João Gualberto, Alto da Glória",630008.0,63.0,2.0,1.0,3.0,4
"Rua Padre Agostinho, Champagnat",700000.0,94.0,3.0,1.0,2.0,32
"Hauer, Curitiba",680000.0,166.0,3.0,1.0,4.0,41
"Alto Boqueirão, Curitiba",288771.0,48.0,2.0,2.0,1.0,3
"Cristo Rei, Curitiba",1040000.0,109.0,3.0,2.0,2.0,34
"Rua Maria Noemia dos Santos, Santa Cândida",335000.0,64.0,2.0,1.0,1.0,60
"Rua Marco Polo, Bairro Alto",580000.0,116.0,3.0,2.0,5.0,10
"Atuba, Curitiba",739000.0,167.0,3.0,2.0,4.0,7
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",886137.0,88.0,2.0,2.0,2.0,33
"Rua das Araras, São Braz",580000.0,97.0,2.0,2.0,2.0,64
"Rua João Batista Trentin, Tingui",496900.0,69.0,3.0,1.0,2.0,74
"Alameda Cabral, São Francisco",805000.0,91.0,3.0,2.0,2.0,19
"Rua João Bonat, Novo Mundo",383000.0,62.0,2.0,1.0,2.0,51
"Rua Manoel Eufrásio, Juvevê",3250000.0,284.0,4.0,8.0,6.0,46
"Rua Tobias de Macedo Júnior, Barigui",434100.0,56.0,2.0,1.0,2.0,11
"Rua Alferes Ângelo Sampaio, Batel",2259200.0,151.0,3.0,3.0,3.0,13
"Rua Alferes Ângelo Sampaio, Bigorrilho",696138.0,122.0,3.0,2.0,2.0,14
"Xaxim, Curitiba",289000.0,55.0,2.0,1.0,1.0,79
"Rua Doutor Waldemiro Pereira, Capão Raso",323500.0,48.0,2.0,1.0,1.0,26
"Rua João Mequetti, Santa Cândida",260000.0,58.0,3.0,1.0,1.0,60
"Cabral, Curitiba",1022550.0,101.0,2.0,2.0,2.0,19
"Avenida da República, Portão",548482.0,67.0,3.0,1.0,2.0,56
"Rua Pedro Collere, Vila Izabel",402410.0,55.0,2.0,1.0,2.0,77
"Pilarzinho, Curitiba",795630.0,112.0,3.0,2.0,3.0,54
"Rua Paraíba, Guaíra",451000.0,63.0,2.0,1.0,1.0,40
"Rua Engenheiro Ostoja Roguski, Jardim Botânico",598000.0,61.0,2.0,1.0,2.0,43
"Rua Tobias de Macedo Júnior, Barigui",530700.0,71.0,3.0,1.0,2.0,11
"Boa Vista, Curitiba",614091.0,73.0,3.0,1.0,2.0,15
"Avenida do Batel, Batel",700000.0,46.0,1.0,1.0,1.0,13
"Rua Maria Clara, Alto da Glória",811100.0,148.0,3.0,3.0,4.0,4
"Rua Cascavel, Boqueirão",619000.0,135.0,3.0,2.0,4.0,17
"Portão, Curitiba",1220000.0,214.0,4.0,3.0,4.0,56
"Rua Teófilo Treicik, Orleans",890000.0,212.0,4.0,2.0,4.0,52
"Rua João Schleder Sobrinho, Boa Vista",579900.0,64.0,3.0,1.0,3.0,15
